id,choice,sturgeon_1,sturgeon_2,sturgeon_3,waterfowl_1,waterfowl_2,waterfowl_3,muskrat_1,muskrat_2,muskrat_3,habitat_1,habitat_2,habitat_3,cost_1,cost_2,cost_3,vote_rw,province,gender,age_group,income_group,education_group,rw_vote,age_gender
169,1,35,100,10,25,85,25,5,20,70,45,60,45,0,345,50,0,Alberta,Man,45 to 54 years,"$30,000-$49,999",Some University/College,0.627,45 to 54 years_Man
169,1,35,100,10,25,50,75,5,70,5,45,30,85,0,130,130,0,Alberta,Man,45 to 54 years,"$30,000-$49,999",Some University/College,0.627,45 to 54 years_Man
169,3,35,100,10,25,15,50,5,40,20,45,60,30,0,345,25,0,Alberta,Man,45 to 54 years,"$30,000-$49,999",Some University/College,0.627,45 to 54 years_Man
169,1,35,10,100,25,25,85,5,40,40,45,60,45,0,215,85,0,Alberta,Man,45 to 54 years,"$30,000-$49,999",Some University/College,0.627,45 to 54 years_Man
169,1,35,100,10,25,15,85,5,20,20,45,30,85,0,50,215,0,Alberta,Man,45 to 54 years,"$30,000-$49,999",Some University/College,0.627,45 to 54 years_Man
169,3,35,100,35,25,50,75,5,5,70,45,85,30,0,215,85,0,Alberta,Man,45 to 54 years,"$30,000-$49,999",Some University/College,0.627,45 to 54 years_Man
171,1,35,10,100,25,85,15,5,5,70,45,30,85,0,130,215,1,Alberta,Woman,65 and over,"$0-$29,999",High school or less,0.627,65 and over_Woman
171,1,35,100,35,25,85,15,5,40,20,45,85,30,0,215,25,1,Alberta,Woman,65 and over,"$0-$29,999",High school or less,0.627,65 and over_Woman
171,1,35,100,10,25,15,75,5,20,40,45,85,30,0,50,130,1,Alberta,Woman,65 and over,"$0-$29,999",High school or less,0.627,65 and over_Woman
171,1,35,10,35,25,15,75,5,5,40,45,60,30,0,50,345,1,Alberta,Woman,65 and over,"$0-$29,999",High school or less,0.627,65 and over_Woman
171,1,35,10,100,25,50,50,5,40,5,45,30,85,0,215,85,1,Alberta,Woman,65 and over,"$0-$29,999",High school or less,0.627,65 and over_Woman
171,1,35,100,35,25,75,50,5,5,40,45,45,45,0,25,215,1,Alberta,Woman,65 and over,"$0-$29,999",High school or less,0.627,65 and over_Woman
288,3,35,35,100,25,85,15,5,5,70,45,45,85,0,130,85,1,Ontario,Woman,55 to 64 years,"$30,000-$49,999",High school or less,0.403,55 to 64 years_Woman
288,2,35,60,60,25,15,85,5,40,40,45,85,30,0,50,345,1,Ontario,Woman,55 to 64 years,"$30,000-$49,999",High school or less,0.403,55 to 64 years_Woman
288,2,35,100,35,25,75,50,5,20,70,45,30,85,0,25,215,1,Ontario,Woman,55 to 64 years,"$30,000-$49,999",High school or less,0.403,55 to 64 years_Woman
288,3,35,60,10,25,75,15,5,70,20,45,45,60,0,345,25,1,Ontario,Woman,55 to 64 years,"$30,000-$49,999",High school or less,0.403,55 to 64 years_Woman
288,3,35,60,10,25,15,75,5,70,5,45,30,85,0,130,50,1,Ontario,Woman,55 to 64 years,"$30,000-$49,999",High school or less,0.403,55 to 64 years_Woman
288,3,35,60,35,25,50,25,5,40,5,45,45,85,0,345,25,1,Ontario,Woman,55 to 64 years,"$30,000-$49,999",High school or less,0.403,55 to 64 years_Woman
290,3,35,35,35,25,85,15,5,40,20,45,30,85,0,130,85,0,British Columbia,Man,55 to 64 years,"$90,000-$149,999",Advanced degree,0.38,55 to 64 years_Man
290,3,35,100,35,25,85,50,5,70,5,45,30,85,0,25,50,0,British Columbia,Man,55 to 64 years,"$90,000-$149,999",Advanced degree,0.38,55 to 64 years_Man
290,3,35,100,35,25,25,85,5,20,70,45,45,85,0,345,25,0,British Columbia,Man,55 to 64 years,"$90,000-$149,999",Advanced degree,0.38,55 to 64 years_Man
290,3,35,10,60,25,25,85,5,70,5,45,45,60,0,215,85,0,British Columbia,Man,55 to 64 years,"$90,000-$149,999",Advanced degree,0.38,55 to 64 years_Man
290,3,35,35,100,25,85,25,5,5,70,45,30,85,0,85,25,0,British Columbia,Man,55 to 64 years,"$90,000-$149,999",Advanced degree,0.38,55 to 64 years_Man
290,3,35,100,10,25,85,50,5,20,40,45,85,45,0,215,130,0,British Columbia,Man,55 to 64 years,"$90,000-$149,999",Advanced degree,0.38,55 to 64 years_Man
292,1,35,100,10,25,15,75,5,70,20,45,30,85,0,215,50,1,Ontario,Woman,18 to 34 years,"$150,000 and over",Bachelors degree,0.403,18 to 34 years_Woman
