id,vote_yes,bid,wet_percent,conseq_none,yea_say,province,income_group,age_group,education_group,gender,age_gender
49,0,250,20%,0,0,Alberta,Missing,55 and over,Vocational/Trade/Technical School,Woman,55 and over_Woman
56,0,50,10%,1,0,Alberta,Missing,35 to 54 years,Advanced degree,Woman,35 to 54 years_Woman
59,0,125,20%,1,0,Manitoba,"$125,000-$149,999",55 and over,Some University/College,Man,55 and over_Man
77,1,430,10%,0,1,Alberta,Missing,55 and over,Advanced degree,Woman,55 and over_Woman
81,0,250,20%,1,0,Manitoba,"$150,000 and over",55 and over,Bachelors degree,Woman,55 and over_Woman
85,0,865,10%,0,0,Manitoba,"$75,000-$99,999",35 to 54 years,Some University/College,Woman,35 to 54 years_Woman
148,1,15,20%,0,1,Manitoba,Missing,55 and over,High school or less,Woman,55 and over_Woman
153,1,250,20%,0,1,Manitoba,"$25,000-$49,999",55 and over,High school or less,Woman,55 and over_Woman
174,1,15,20%,0,1,Alberta,"$50,000-$74,999",55 and over,Vocational/Trade/Technical School,Woman,55 and over_Woman
189,1,865,10%,1,1,Alberta,Missing,35 to 54 years,Bachelors degree,Woman,35 to 54 years_Woman
195,0,250,10%,1,0,Manitoba,"$25,000-$49,999",55 and over,Some University/College,Man,55 and over_Man
202,0,865,10%,1,0,Manitoba,"$25,000-$49,999",55 and over,Some University/College,Man,55 and over_Man
208,1,250,20%,0,1,Alberta,Missing,55 and over,Some University/College,Man,55 and over_Man
225,0,15,10%,0,0,Alberta,"$125,000-$149,999",35 to 54 years,Bachelors degree,Woman,35 to 54 years_Woman
231,0,865,10%,0,0,Manitoba,"$25,000-$49,999",55 and over,Some University/College,Woman,55 and over_Woman
236,0,865,10%,1,0,Manitoba,"$150,000 and over",55 and over,High school or less,Woman,55 and over_Woman
252,1,430,10%,1,0,Alberta,Missing,55 and over,Some University/College,Man,55 and over_Man
264,0,430,20%,0,0,Alberta,"$75,000-$99,999",55 and over,Advanced degree,Woman,55 and over_Woman
281,0,430,10%,1,0,Manitoba,Missing,35 to 54 years,Some University/College,Woman,35 to 54 years_Woman
313,0,865,10%,0,0,Manitoba,"$75,000-$99,999",55 and over,Bachelors degree,Man,55 and over_Man
319,0,865,20%,0,0,Manitoba,"$150,000 and over",35 to 54 years,Bachelors degree,Woman,35 to 54 years_Woman
337,1,430,20%,0,1,Manitoba,"$75,000-$99,999",55 and over,Bachelors degree,Man,55 and over_Man
364,0,250,10%,0,0,Alberta,"$75,000-$99,999",35 to 54 years,Some University/College,Man,35 to 54 years_Man
388,0,865,10%,0,0,Alberta,"$150,000 and over",55 and over,Bachelors degree,Man,55 and over_Man
402,1,430,20%,1,1,Alberta,"$150,000 and over",55 and over,Advanced degree,Woman,55 and over_Woman
416,1,50,10%,1,1,Manitoba,"$0-$25,000",55 and over,High school or less,Woman,55 and over_Woman
432,0,865,20%,0,0,Manitoba,"$75,000-$99,999",55 and over,Some University/College,Man,55 and over_Man
484,1,865,20%,1,0,Alberta,"$150,000 and over",18 to 34 years,Bachelors degree,Man,18 to 34 years_Man
506,0,865,10%,1,0,Alberta,Missing,55 and over,Bachelors degree,Man,55 and over_Man
508,0,430,10%,0,0,Alberta,"$125,000-$149,999",55 and over,Advanced degree,Man,55 and over_Man
526,1,125,20%,0,1,Alberta,"$125,000-$149,999",55 and over,Advanced degree,Man,55 and over_Man
529,0,250,20%,1,0,Alberta,Missing,55 and over,High school or less,Woman,55 and over_Woman
537,1,250,10%,1,0,Alberta,"$50,000-$74,999",55 and over,Vocational/Trade/Technical School,Man,55 and over_Man
553,1,865,20%,1,0,Manitoba,Missing,35 to 54 years,Some University/College,Woman,35 to 54 years_Woman
555,0,430,10%,0,0,Manitoba,"$25,000-$49,999",55 and over,Bachelors degree,Woman,55 and over_Woman
566,0,125,10%,0,0,Alberta,"$25,000-$49,999",55 and over,High school or less,Woman,55 and over_Woman
570,0,430,20%,0,0,Alberta,"$100,000-$124,999",35 to 54 years,High school or less,Man,35 to 54 years_Man
592,1,15,10%,0,1,Alberta,"$25,000-$49,999",55 and over,Some University/College,Man,55 and over_Man
604,0,250,10%,1,0,Manitoba,"$50,000-$74,999",55 and over,Advanced degree,Man,55 and over_Man
629,1,250,10%,1,0,Manitoba,Missing,55 and over,Bachelors degree,Woman,55 and over_Woman
647,0,430,20%,0,0,Manitoba,Missing,35 to 54 years,Bachelors degree,Woman,35 to 54 years_Woman
656,0,250,10%,0,0,Manitoba,"$50,000-$74,999",55 and over,Bachelors degree,Man,55 and over_Man
682,1,15,20%,0,0,Alberta,"$150,000 and over",55 and over,Vocational/Trade/Technical School,Man,55 and over_Man
689,1,15,20%,0,1,Alberta,"$50,000-$74,999",55 and over,Some University/College,Woman,55 and over_Woman
706,1,250,20%,0,1,Manitoba,"$150,000 and over",55 and over,Advanced degree,Man,55 and over_Man
721,1,250,10%,1,0,Alberta,"$125,000-$149,999",18 to 34 years,Bachelors degree,Woman,18 to 34 years_Woman
726,1,865,20%,0,0,Alberta,"$50,000-$74,999",55 and over,Advanced degree,Woman,55 and over_Woman
734,1,50,10%,1,0,Alberta,"$0-$25,000",55 and over,High school or less,Woman,55 and over_Woman
738,1,125,20%,0,1,Manitoba,"$25,000-$49,999",55 and over,Advanced degree,Woman,55 and over_Woman
751,1,50,20%,0,1,Alberta,"$50,000-$74,999",55 and over,Vocational/Trade/Technical School,Man,55 and over_Man
757,0,125,10%,0,0,Saskatchewan,"$25,000-$49,999",55 and over,Bachelors degree,Man,55 and over_Man
771,1,15,20%,0,0,Manitoba,"$25,000-$49,999",55 and over,Bachelors degree,Woman,55 and over_Woman
780,0,865,20%,1,0,Manitoba,Missing,55 and over,Advanced degree,Woman,55 and over_Woman
781,1,430,20%,0,0,Manitoba,"$75,000-$99,999",55 and over,Some University/College,Woman,55 and over_Woman
783,0,865,10%,1,0,Manitoba,"$25,000-$49,999",55 and over,Vocational/Trade/Technical School,Woman,55 and over_Woman
787,0,865,10%,0,0,Alberta,Missing,55 and over,Vocational/Trade/Technical School,Man,55 and over_Man
810,1,250,10%,0,0,Manitoba,"$25,000-$49,999",18 to 34 years,Bachelors degree,Man,18 to 34 years_Man
815,1,125,10%,0,0,Manitoba,"$50,000-$74,999",55 and over,Bachelors degree,Man,55 and over_Man
859,0,430,20%,0,0,Alberta,Missing,35 to 54 years,Bachelors degree,Man,35 to 54 years_Man
865,0,430,20%,1,0,Manitoba,Missing,55 and over,Some University/College,Woman,55 and over_Woman
877,1,15,10%,1,0,Manitoba,"$25,000-$49,999",55 and over,High school or less,Woman,55 and over_Woman
879,1,125,10%,1,0,Alberta,"$100,000-$124,999",55 and over,Some University/College,Woman,55 and over_Woman
891,0,865,20%,0,0,Alberta,"$75,000-$99,999",55 and over,Bachelors degree,Man,55 and over_Man
909,1,125,20%,0,1,Alberta,"$50,000-$74,999",55 and over,Vocational/Trade/Technical School,Woman,55 and over_Woman
933,1,50,10%,0,1,Alberta,"$150,000 and over",55 and over,Advanced degree,Man,55 and over_Man
936,1,15,20%,1,1,Manitoba,"$50,000-$74,999",55 and over,Some University/College,Woman,55 and over_Woman
941,1,250,20%,1,0,Alberta,"$150,000 and over",55 and over,Advanced degree,Man,55 and over_Man
942,1,430,10%,1,0,Manitoba,Missing,55 and over,Bachelors degree,Woman,55 and over_Woman
964,1,865,20%,1,0,Manitoba,"$125,000-$149,999",55 and over,Advanced degree,Man,55 and over_Man
986,1,865,10%,0,0,Alberta,Missing,55 and over,Advanced degree,Woman,55 and over_Woman
989,0,125,20%,0,0,Alberta,Missing,35 to 54 years,High school or less,Woman,35 to 54 years_Woman
1012,1,430,20%,0,1,Manitoba,"$100,000-$124,999",55 and over,Bachelors degree,Woman,55 and over_Woman
1028,0,865,20%,1,0,Alberta,Missing,55 and over,Some University/College,Man,55 and over_Man
1059,1,50,20%,0,0,Alberta,"$100,000-$124,999",55 and over,Advanced degree,Man,55 and over_Man
1078,1,865,10%,1,0,Alberta,Missing,55 and over,Bachelors degree,Woman,55 and over_Woman
1115,0,50,20%,0,0,Alberta,"$25,000-$49,999",55 and over,Advanced degree,Man,55 and over_Man
1130,1,125,10%,0,0,Manitoba,"$50,000-$74,999",55 and over,Some University/College,Woman,55 and over_Woman
1212,0,865,20%,0,0,Manitoba,"$50,000-$74,999",55 and over,Some University/College,Woman,55 and over_Woman
1237,1,250,20%,1,0,Manitoba,"$150,000 and over",35 to 54 years,Bachelors degree,Woman,35 to 54 years_Woman
